Python File,Category,LOC,Go Equivalent,Status,Priority,Action,Notes
src/alert_history/utils/decorators.py,Utils,~70,N/A,✅ COMPLETE,🟢 LOW,DELETE,"Python decorators"
src/alert_history/cli/database_migrate.py,CLI,~100,cmd/migrate/main.go,✅ COMPLETE,🟢 LOW,DELETE,"Go migration CLI работает"
src/alert_history/__init__.py,Package,~10,N/A,✅ COMPLETE,🟢 LOW,DELETE,"Python package init"
src/alert_history/api/health_endpoints.py,API,~40,cmd/server/handlers/health.go,✅ COMPLETE,🟢 LOW,DELETE,"/healthz и /readyz в Go"
src/alert_history/api/metrics.py,API,~30,pkg/metrics/,✅ COMPLETE,🟢 LOW,DELETE,"/metrics endpoint в Go"
src/alert_history/services/health_checker.py,Services,~80,cmd/server/handlers/health.go,✅ COMPLETE,🟢 LOW,DELETE,"Health checks в Go"
src/alert_history/services/graceful_shutdown.py,Services,~100,cmd/server/main.go,✅ COMPLETE,🟢 LOW,DELETE,"Graceful shutdown в Go"
src/alert_history/services/redis_cache.py,Services,~150,internal/infrastructure/cache/,✅ COMPLETE,🟢 LOW,DELETE,"go-redis v9 работает"
src/alert_history/api/webhook_endpoints.py,API,~200,cmd/server/handlers/webhook.go,🔄 PARTIAL,🟡 MED,ARCHIVE,"Базовый webhook работает в Go, сложная логика - в Python"
src/alert_history/services/webhook_processor.py,Services,~300,TBD,🔄 PARTIAL,🔴 HIGH,MIGRATE,"Комплексная обработка webhooks, нужно в Go"
src/alert_history/services/alert_classifier.py,Services,~400,internal/infrastructure/llm/,🔄 PARTIAL,🟡 MED,ARCHIVE,"LLM client в Go есть, но Python более зрелый"
src/alert_history/services/filter_engine.py,Services,~350,internal/core/filtering.go,🔄 PARTIAL,🟡 MED,ARCHIVE,"Фильтрация в Go 95% готова, оставить Python как reference"
src/alert_history/services/alert_formatter.py,Services,~200,TBD,❌ MISSING,🟡 MED,MIGRATE,"Форматирование алертов для разных targets"
src/alert_history/services/target_discovery.py,Services,~250,TBD,❌ MISSING,🔴 HIGH,MIGRATE,"K8s secrets discovery - критично"
src/alert_history/services/alert_publisher.py,Services,~300,TBD,❌ MISSING,🔴 HIGH,MIGRATE,"Multi-target publishing - критично"
src/alert_history/services/llm_client.py,Services,~180,internal/infrastructure/llm/,🔄 PARTIAL,🟡 MED,ARCHIVE,"Go LLM client работает, Python как reference"
src/alert_history/api/proxy_endpoints.py,API,~400,TBD,❌ MISSING,🔴 HIGH,MIGRATE,"Intelligent proxy - core feature"
src/alert_history/api/classification_endpoints.py,API,~150,TBD,❌ MISSING,🟡 MED,EVALUATE,"Можно deprecated? Нужна проверка использования"
src/alert_history/api/dashboard_endpoints.py,API,~300,TBD,❌ MISSING,🟡 MED,KEEP (temp),"HTML dashboard, миграция планируется (TN-76 to TN-85)"
src/alert_history/api/enrichment_endpoints.py,API,~200,TBD,🔄 PARTIAL,🟡 MED,KEEP (temp),"Enrichment mode API, частично в Go"
src/alert_history/api/legacy_adapter.py,API,~250,N/A,✅ ACTIVE,🟡 MED,KEEP (temp),"Legacy compatibility layer, нужен до полной миграции"
src/alert_history/api/publishing_endpoints.py,API,~350,TBD,❌ MISSING,🔴 HIGH,KEEP (temp),"Publishing API, активно используется, миграция TN-46 to TN-60"
src/alert_history/main.py,Entry,~150,cmd/server/main.go,✅ COMPLETE,🟡 MED,KEEP (temp),"Entry point, нужен пока Python endpoints активны"

SUMMARY,,,,,,,
Total Files,36,,,,,,
✅ COMPLETE,16,,,,,,44.4%
🔄 PARTIAL,7,,,,,,19.4%
❌ MISSING,6,,,,,,16.7%
⚠️  EVALUATE,2,,,,,,5.6%
✅ ACTIVE,1,,,,,,2.8%
,,,,,,,
Actions,,,,,,,
DELETE,16,,,,,,44.4% - можно удалить сразу
ARCHIVE,7,,,,,,19.4% - оставить как reference
MIGRATE,5,,,,,,13.9% - срочно мигрировать на Go
KEEP (temp),5,,,,,,13.9% - временно оставить активными
EVALUATE,2,,,,,,5.6% - требуется проверка
CASE-BY-CASE,1,,,,,,2.8% - частично
